Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
59780078,"A Court of Silver Flames (A Court of Thorns and Roses, #4)",Sarah J. Maas,"Maas, Sarah J.",,"=""1526635364""","=""9781526635365""",5,4.47,Bloomsbury Publishing,Paperback,751,2022,2021,2024/03/17,2024/02/27,,,read,I think the plot could’ve been written better but I loved nestas character arc soooo much. If nesta and cassian had a million haters I would NOT be one.<br/><br/>Two months later — this remains my favorite book of all time. No review could’ve done the feelings I was feeling justice. Will be back with an update when I finally get off the damn waitlist (DC PUBLIC LIB U ARE CURRENTLY PUBLIC ENEMY NUMBER 1) for the audiobook. ,,,1,0
181344829,Bride,Ali Hazelwood,"Hazelwood, Ali",,"=""""","=""""",5,4.04,Berkley,Kindle Edition,410,2024,2024,2024/05/21,2024/03/31,,,read,4.(80). ♥️<br/><br/>I haven’t had a book I couldn’t put down in a while but LOWE and behold (Iykyk). Not only is the main character weird af and a girl who codes like yours truly but it also has the best banter and equally good plot and romantic build up. I love the chosen family trope and the beauty of female friendships in books just like this one. Some people will think this book is cheesy but I think she is perfect. Also…I hope the Epilogue ending means there will be a second book. PLEASE RACHEL SEND IT TO ME PLEASEEE RACHELLL<br/><br/>Name two people who match each other’s freak: Lowe and Misery <br/><br/>TTPD association — The Alchemy,,,1,0
62335396,"The Ashes & the Star-Cursed King (Crowns of Nyaxia, #2)",Carissa Broadbent,"Broadbent, Carissa",,"=""""","=""""",0,4.15,,Kindle Edition,665,2023,2023,,2024/05/19,to-read,to-read (#27),to-read,,,,0,0
150260787,"Ruthless Vows (Letters of Enchantment, #2)",Rebecca   Ross,"Ross, Rebecca",,"=""""","=""""",5,4.06,Wednesday Books,Kindle Edition,419,2023,2023,2024/05/17,2024/05/14,,,read,I don’t know if it’s because I read it on my new kindle but I absolutely devoured this book. I liked how it was more plot/action than romance. Not to say there wasn’t any romance but it was just enough not to make me gag. It had me near tears at the end which is when I knew I would give it a 5. I’ll miss reading about Iris and Roman. I thought that the book ended perfectly…not too happy and not too sad either. It was realistic.<br/><br/>TTPD association — I Can Do It With a Broken Heart; Fortnight; The Albatross (Enva’s Version),,,1,0
60784546,"Divine Rivals (Letters of Enchantment, #1)",Rebecca   Ross,"Ross, Rebecca",,"=""1250857430""","=""9781250857439""",4,4.20,Wednesday Books,Hardcover,357,2023,2023,2024/05/13,2024/04/27,,,read,This is a lukewarm take but that was really wholesome and beautiful (at times cheesy but cute). So innocent and loving. Unlike anything I’ve read and honestly quite unique in its own right. Would you consider this light fantasy? ,,,1,0
202547916,"Half-Blood (Covenant, #1)",Jennifer L. Armentrout,"Armentrout, Jennifer L.",,"=""1464220662""","=""9781464220661""",0,4.09,Bloom Books,Paperback,448,2024,2011,,2024/05/05,to-read,to-read (#25),to-read,,,,0,0
58346977,Reminders of Him,Colleen Hoover,"Hoover, Colleen",,"=""1542025605""","=""9781542025607""",3,4.37,Montlake,Paperback,320,2022,2022,2024/03/27,2024/02/27,,,read,SPOILERS AHEAD (like anyone that follows me will actually read this lmao)<br/><br/>Currently I want to give it 2.5 stars but had to choose 3 because I think 2 is too harsh. May end up changing it because my brain says this book was so bad but my heart loves it?? <br/><br/>I’m coming back a month later to this book because I lowkey can’t stop comparing it to other colleen hoover books. I think it’s a 3-3.25 but part of me always thinks it should be higher. This book should probably be a 5 for the way it’s stuck with me. <br/><br/>I am so damn conflicted by this book because it was so bad but I couldn’t put it down. It’s unrealistic which isn’t the problem it’s just the way everyone lived happily ever after and everything was water under the bridge after <br/><br/>1. She accidentally kills her bf<br/>2. Starts screwing and eventually has her ex bf best friends baby<br/>3. The parents just changed their opinions over night on her and don’t find it weird that their dead sons best friend is now with their dead sons ex gf/almost fiancé/mother of their grand daughter <br/><br/>Would love to see a follow up book from the daughters perspective when she’s older…if it was me it would be a whole lot of wtf is wrong with these people??,true,,1,0
57914683,"From Blood and Ash (Blood and Ash, #1)",Jennifer L. Armentrout,"Armentrout, Jennifer L.",,"=""1952457467""","=""9781952457463""",5,4.23,Blue Box Press,Hardcover,496,2021,2020,2024/04/24,2024/03/06,,,read,"I can’t believe I’m saying this but Fourth Wing and ACOWAR were just demoted in my all time favorite books (nothing can ever touch the Magnum Opus that is ACOSF). But my god this book had it all. I am a strong believer in fate and I hate to be this girl but was the TTPD release and me reading his book in the same week a coincidence? I think not! <br/><br/>I MAY NEED TO SLEEP ON THIS RATING. I have a bad habit of reviewing in the emotional moments following the ending of a book. Lol <br/><br/>TTDP inspired playlist: (subject to change) <br/>I Hate It Here<br/>I Look in Peoples Windows<br/>The Smallest Man that Ever Lived<br/>Down Bad<br/>Fortnight<br/>But Daddy I Love Him <br/>Who’s Afraid of Little Old Me?<br/>My Boy Only Breaks His Favorite Toys<br/>So Long, London<br/>I Can Do it with a Broken Heart<br/>The Prophecy <br/>Cassandra<br/>How did it End?",,,1,0
76703559,"Throne of Glass (Throne of Glass, #1)",Sarah J. Maas,"Maas, Sarah J.",,"=""163973094X""","=""9781639730940""",4,4.18,Bloomsbury Publishing,Hardcover,406,2023,2012,2024/04/20,2024/02/27,,,read,4.5 stars. It didn’t have me at the edge of my seat/emotionally distraught which is part of my criteria for a 5 start book. The characters were lovable and the banter was impeccable. You can tell SJM is setting the stage for the whole series with this book and getting us warmed up for what is to come. I would say this book boarders YA genre but it was simple and enjoyable nonetheless. You will never see me bashing a book with a badass female lead. ,,,1,0
960,"Angels & Demons (Robert Langdon, #1)",Dan       Brown,"Brown, Dan",,"=""1416524797""","=""9781416524793""",0,3.94,Pocket Books,Paperback,736,2006,2000,,2024/04/08,to-read,to-read (#24),to-read,,,,0,0
